Country,Population,Lockdown Start,Lockdown End
Afghanistan,38928346,,
Albania,2877797,03/13/20,06/01/20
Algeria,43851044,03/23/20,05/14/20
Andorra,77265,,
Angola,32866272,,
Antigua and Barbuda,97929,,
Argentina,45195774,03/19/20,06/28/20
Armenia,2963243,03/24/20,05/04/20
Australia,25499884,03/23/20,07/08/20
Austria,9006398,03/16/20,04/13/20
Azerbaijan,10139177,03/31/20,08/30/20
Bahamas,393244,,
Bahrain,1701575,,
Bangladesh,164689383,03/26/20,05/16/20
Barbados,287375,03/28/20,05/03/20
Belarus,9449323,,
Belgium,11589623,03/18/20,05/04/20
Belize,397628,,
Benin,12123200,,
Bhutan,771608,08/11/20,12/30/99
Bolivia,11673021,03/22/20,07/31/20
Bosnia,3280819,,
Botswana,2351627,04/02/20,04/30/20
Brazil,212559417,03/17/20,04/07/20
Brunei,437479,,
Bulgaria,6948445,,
Burkina Faso,20903273,,
Burma,54409800,,
Burundi,11890784,,
Cabo Verde,555987,,
Cambodia,16718965,,
Cameroon,26545863,,
Canada,37742154,,
Central African Republic,4829767,,
Chad,16425864,,
Chile,19116201,,
China,1439323776,01/23/20,12/30/99
Colombia,50882891,03/25/20,06/30/20
Comoros,869601,,
Costa Rica,5094118,,
Cote d'Ivoire,26378274,,
Croatia,4105267,03/18/20,04/19/20
Cuba,11326616,,
Cyprus,1207359,,
Czech Republic,10708981,,
Democratic Republic of Congo,89561403,03/31/20,04/20/20
Denmark,5792202,,
Djibouti,988000,,
Dominica,71986,,
Dominican Republic,10847910,,
Ecuador,17643054,03/16/20,03/31/20
Egypt,102334404,,
El Salvador,6486205,03/12/20,04/02/20
Equatorial Guinea,1402985,,
Eritrea,3546421,04/02/20,04/23/20
Estonia,1326535,,
Eswatini,1160164,,
Ethiopia,114963588,,
Fiji,896445,03/20/20,04/07/20
Finland,5540720,,
France,65273511,03/17/20,05/11/20
Gabon,2225734,,
Gambia,2416668,,
Georgia (Country),3989167,03/31/20,04/21/20
Germany,83783942,03/23/20,04/20/20
Ghana,31072940,03/30/20,04/12/20
Greece,10423054,03/23/20,05/04/20
Grenada,112523,,
Guatemala,17915568,,
Guinea,13132795,,
Guinea-Bissau,1968001,,
Guyana,786552,,
Haiti,11402528,,
Holy See,801,,
Honduras,9904607,03/20/20,05/17/20
Hungary,9660351,03/28/20,04/10/20
Iceland,341243,,
India,1380004385,03/25/20,06/30/20
Indonesia,273523615,,
Iran,83992949,03/14/20,04/20/20
Iraq,40222493,03/22/20,04/11/20
Ireland,4937786,03/12/20,05/18/20
Israel,8655535,04/02/20,12/30/99
Italy,60461826,03/09/20,05/18/20
Jamaica,2961167,04/15/20,04/22/20
Japan,126476461,,
Jordan,10203134,03/18/20,04/30/20
Kazakhstan,18776707,,
Kenya,53771296,,
Korea South,51269185,,
Kosovo,1845000,03/14/20,05/04/20
Kuwait,4270571,03/14/20,03/29/20
Kyrgyzstan,6524195,,
Laos,7275560,,
Latvia,1886198,,
Lebanon,6825445,03/15/20,03/28/20
Lesotho,2142249,,
Liberia,5057681,03/23/20,04/11/20
Libya,6871292,03/22/20,12/30/99
Liechtenstein,38128,,
Lithuania,2722289,03/16/20,06/18/20
Luxembourg,625978,,
Madagascar,27691018,03/23/20,04/20/20
Malawi,19129952,,
Malaysia,32365999,03/18/20,06/09/20
Maldives,540544,,
Mali,20250833,,
Malta,441543,,
Mauritania,4649658,,
Mauritius,1271768,,
Mexico,128932753,03/23/20,06/01/20
Moldova,4033963,,
Monaco,39242,,
Mongolia,3278290,03/10/20,03/16/20
Montenegro,628066,03/24/20,12/30/99
Morocco,36910560,03/19/20,06/10/20
Mozambique,31255435,,
Namibia,2540905,03/27/20,05/04/20
Nepal,29136808,03/24/20,06/14/20
Netherlands,17134872,,
New Zealand,4822233,03/26/20,05/14/20
Nicaragua,6624554,,
Niger,24206644,,
Nigeria,206139589,03/30/20,04/12/20
North Macedonia,2083374,,
Norway,5421241,,
Oman,5106626,04/10/20,05/29/20
Pakistan,220892340,03/24/20,05/09/20
Panama,4314767,03/25/20,12/30/99
Papua New Guinea,8947024,,
Paraguay,7132538,03/20/20,05/03/20
Peru,32971854,03/16/20,06/30/20
Philippines,109581078,03/27/20,05/15/20
Poland,37846611,03/13/20,04/11/20
Portugal,10196709,03/19/20,04/02/20
