Province_State,Lat,Long_,Date,Reported Cases,Cases (Per Capita)
Alabama,32.53952745,-86.64408227,1/23/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/24/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/25/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/26/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/27/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/28/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/29/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/30/20,0.0,-1
Alabama,32.53952745,-86.64408227,1/31/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/1/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/2/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/3/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/4/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/5/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/6/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/7/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/8/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/9/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/10/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/11/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/12/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/13/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/14/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/15/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/16/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/17/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/18/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/19/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/20/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/21/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/22/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/23/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/24/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/25/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/26/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/27/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/28/20,0.0,-1
Alabama,32.53952745,-86.64408227,2/29/20,0.0,-1
