Country/Region,Lat,Long,Date,Reported Cases,Cases (Per Capita),Lockdown,Contact Tracing
Afghanistan,33.93911,67.709953,1/22/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/23/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/24/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/25/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/26/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/27/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/28/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/29/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/30/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,1/31/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/1/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/2/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/3/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/4/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/5/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/6/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/7/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/8/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/9/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/10/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/11/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/12/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/13/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/14/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/15/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/16/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/17/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/18/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/19/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/20/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/21/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/22/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/23/20,0.0,0.0,0,0
Afghanistan,33.93911,67.709953,2/24/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,2/25/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,2/26/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,2/27/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,2/28/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,2/29/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/1/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/2/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/3/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/4/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/5/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/6/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/7/20,1.0,2.568822215051212e-06,0,1
Afghanistan,33.93911,67.709953,3/8/20,4.0,1.0275288860204849e-05,0,1
Afghanistan,33.93911,67.709953,3/9/20,4.0,1.0275288860204849e-05,0,1
Afghanistan,33.93911,67.709953,3/10/20,5.0,1.2844111075256061e-05,0,1
Afghanistan,33.93911,67.709953,3/11/20,7.0,1.7981755505358486e-05,0,1
Afghanistan,33.93911,67.709953,3/12/20,7.0,1.7981755505358486e-05,0,1
Afghanistan,33.93911,67.709953,3/13/20,7.0,1.7981755505358486e-05,0,1
Afghanistan,33.93911,67.709953,3/14/20,11.0,2.8257044365563334e-05,0,1
Afghanistan,33.93911,67.709953,3/15/20,16.0,4.1101155440819394e-05,0,1
Afghanistan,33.93911,67.709953,3/16/20,21.0,5.394526651607546e-05,0,1
Afghanistan,33.93911,67.709953,3/17/20,22.0,5.651408873112667e-05,0,1
Afghanistan,33.93911,67.709953,3/18/20,22.0,5.651408873112667e-05,0,1
Afghanistan,33.93911,67.709953,3/19/20,22.0,5.651408873112667e-05,0,1
