State, Cause 1, Cause 1 Value, Cause 1 Value (Per Capita),Cause 2,Cause Value 2,Cause Value 2 (Per Capita),Cause 3,Cause Value 3,Cause Value 3 (Per Capita),Cause 4,Cause Value 4,Cause Value 4 (Per Capita),Cause 5,Cause Value 5,Cause Value 5 (Per Capita)
Alabama,Diseases of heart,12981,0.2647462822634675,Malignant neoplasms,10354,0.21116886268823226,Chronic lower respiratory diseases,3279,0.06687489866280795,Cerebrovascular diseases,2937,0.0598998406138051,Accidents (unintentional injuries),2552,0.0520478015820329
Alaska,Malignant neoplasms,978,0.13368965682220504,Diseases of heart,846,0.11564565406092585,Accidents (unintentional injuries),388,0.05303843235891162,Chronic lower respiratory diseases,204,0.027886186085613326,Intentional self-harm (suicide),201,0.02747609511376607
Arizona,Malignant neoplasms,11776,0.16178675445136828,Diseases of heart,11458,0.15741785262430177,Chronic lower respiratory diseases,3681,0.050572099451043365,Accidents (unintentional injuries),3539,0.04862120618235329,Alzheimer's disease,2943,0.04043294992785129
Arkansas,Diseases of heart,7938,0.26303895150248324,Malignant neoplasms,6727,0.22291043420977638,Chronic lower respiratory diseases,2270,0.07522025949995427,Cerebrovascular diseases,1653,0.054774929054371986,Accidents (unintentional injuries),1538,0.050964211062083556
California,Diseases of heart,61289,0.1551140263609061,Malignant neoplasms,59629,0.15091279475720715,Alzheimer's disease,15065,0.03812744223477378,Cerebrovascular diseases,15065,0.03812744223477378,Chronic lower respiratory diseases,13621,0.03447287691203808
Colorado,Malignant neoplasms,7604,0.13204286496203335,Diseases of heart,7009,0.12171073652273695,Accidents (unintentional injuries),2725,0.047319411759802844,Chronic lower respiratory diseases,2577,0.04474940334128878,Cerebrovascular diseases,1856,0.032229294761906085
Connecticut,Diseases of heart,7205,0.20208751777907363,Malignant neoplasms,6666,0.18696952026582994,Accidents (unintentional injuries),1799,0.05045877092082629,Cerebrovascular diseases,1388,0.0389309472140672,Chronic lower respiratory diseases,1369,0.038398030789667144
Delaware,Malignant neoplasms,2010,0.20641551751759152,Diseases of heart,1940,0.19922691740503856,Chronic lower respiratory diseases,510,0.052374086534314274,Cerebrovascular diseases,466,0.04785553789213814,Accidents (unintentional injuries),449,0.046109735007660996
District of Columbia,Diseases of heart,1217,0.17244091029530328,Malignant neoplasms,1072,0.1518953622321817,Accidents (unintentional injuries),265,0.03754876025329118,Cerebrovascular diseases,242,0.03428981125017535,Diabetes mellitus,162,0.02295433645672895
Florida,Diseases of heart,45441,0.21157256930746474,Malignant neoplasms,44027,0.20498900792015473,Chronic lower respiratory diseases,11705,0.05449829281362371,Cerebrovascular diseases,11433,0.05323186516344809,Accidents (unintentional injuries),10578,0.04925099883660928
Georgia,Diseases of heart,17769,0.16735699425369038,Malignant neoplasms,16945,0.15959616566091414,Chronic lower respiratory diseases,4607,0.04339094335791274,Accidents (unintentional injuries),4344,0.04091388277550965,Cerebrovascular diseases,4335,0.04082911644379243
Hawaii,Diseases of heart,2605,0.18398555801654387,Malignant neoplasms,2462,0.1738857749853094,Cerebrovascular diseases,735,0.05191147222347783,Influenza and pneumonia,557,0.03933971432445871,Accidents (unintentional injuries),536,0.03785652940378791
Idaho,Malignant neoplasms,2849,0.15942341213106406,Diseases of heart,2825,0.1580804279642878,Chronic lower respiratory diseases,843,0.047172318858015795,Accidents (unintentional injuries),746,0.04174442451729512,Cerebrovascular diseases,641,0.03586886878764902
Illinois,Diseases of heart,25652,0.2024334150553421,Malignant neoplasms,24713,0.19502327250361254,Cerebrovascular diseases,5709,0.04505271973144191,Chronic lower respiratory diseases,5544,0.04375061800509966,Accidents (unintentional injuries),4850,0.03827389922884801
Indiana,Diseases of heart,13948,0.20718280257965463,Malignant neoplasms,13511,0.2006916293127125,Chronic lower respiratory diseases,4212,0.06256480961180853,Accidents (unintentional injuries),3258,0.04839414760571514,Cerebrovascular diseases,2959,0.04395281852833367
Iowa,Diseases of heart,6813,0.2159381566811513,Malignant neoplasms,6513,0.20642965132310853,Chronic lower respiratory diseases,2011,0.0637386809167467,Accidents (unintentional injuries),1537,0.04871524245103912,Cerebrovascular diseases,1418,0.044943535325682155
Kansas,Diseases of heart,5624,0.19304475933593154,Malignant neoplasms,5604,0.1923582559243528,Chronic lower respiratory diseases,1704,0.05849009066650557,Accidents (unintentional injuries),1475,0.050629626603929404,Cerebrovascular diseases,1364,0.0468195326696676
Kentucky,Malignant neoplasms,10312,0.2308136696665132,Diseases of heart,10077,0.22555366070882987,Chronic lower respiratory diseases,3331,0.0745578290980562,Accidents (unintentional injuries),2962,0.06629849588365128,Cerebrovascular diseases,2050,0.045885184524471684
Louisiana,Diseases of heart,10665,0.22941433842841819,Malignant neoplasms,9397,0.20213844708971834,Accidents (unintentional injuries),2578,0.055455242800605924,Cerebrovascular diseases,2280,0.049044978116905155,Chronic lower respiratory diseases,2178,0.046850860674833086
Maine,Malignant neoplasms,3398,0.252787506732569,Diseases of heart,3009,0.22384861911662743,Chronic lower respiratory diseases,1025,0.07625285297259658,Accidents (unintentional injuries),802,0.05966320788685118,Cerebrovascular diseases,616,0.045826104810848284
Maryland,Diseases of heart,11481,0.18990419605404188,Malignant neoplasms,10568,0.17480250360588057,Cerebrovascular diseases,2540,0.042013470775826706,Chronic lower respiratory diseases,2040,0.03374310251286869,Accidents (unintentional injuries),1903,0.0314770216088182
Massachusetts,Malignant neoplasms,12750,0.18498359739560505,Diseases of heart,12130,0.17598831658107367,Accidents (unintentional injuries),3229,0.04684800282277715,Chronic lower respiratory diseases,2784,0.04039171256073447,Cerebrovascular diseases,2475,0.035908580670911565
Michigan,Diseases of heart,24794,0.24826629639334977,Malignant neoplasms,20732,0.20759283926865077,Chronic lower respiratory diseases,5848,0.05855696141438693,Cerebrovascular diseases,4666,0.04672140594383198,Accidents (unintentional injuries),4647,0.046531155898197
Minnesota,Malignant neoplasms,9925,0.17598666012250444,Diseases of heart,7844,0.13908708937037026,Accidents (unintentional injuries),2574,0.045641275884667654,Chronic lower respiratory diseases,2351,0.041687117173602815,Cerebrovascular diseases,2238,0.03968344033795113
Mississippi,Diseases of heart,7969,0.26776213153306505,Malignant neoplasms,6485,0.21789903664097462,Chronic lower respiratory diseases,1924,0.06464730092478568,Accidents (unintentional injuries),1814,0.06095124941661187,Cerebrovascular diseases,1734,0.058263211956121816
Missouri,Diseases of heart,14808,0.2234707353391472,Malignant neoplasms,12965,0.19565762315451402,Chronic lower respiratory diseases,3935,0.05938393730142788,Accidents (unintentional injuries),3309,0.04993683571294152,Cerebrovascular diseases,3037,0.0458320247990944
Montana,Malignant neoplasms,2130,0.19929302436988788,Diseases of heart,2104,0.1968603395653728,Chronic lower respiratory diseases,679,0.0635304993179126,Accidents (unintentional injuries),637,0.05960077771061904,Cerebrovascular diseases,458,0.04285267847953457
Nebraska,Diseases of heart,3591,0.1856381900819269,Malignant neoplasms,3514,0.1816576440957647,Chronic lower respiratory diseases,1174,0.060690402438368735,Accidents (unintentional injuries),799,0.04130462653173477,Cerebrovascular diseases,776,0.04011563227612789
Nevada,Diseases of heart,6114,0.19849643979071188,Malignant neoplasms,5015,0.16281642877828265,Chronic lower respiratory diseases,1617,0.052497341043765314,Accidents (unintentional injuries),1340,0.0435042900424524,Cerebrovascular diseases,1078,0.03499822736251021
New Hampshire,Malignant neoplasms,2773,0.20394039615771292,Diseases of heart,2571,0.18908429806039664,Accidents (unintentional injuries),815,0.05993920766986514,Chronic lower respiratory diseases,705,0.05184925326043549,Cerebrovascular diseases,457,0.033610083319175914
New Jersey,Diseases of heart,18647,0.2099369637443018,Malignant neoplasms,16270,0.183175545670606,Cerebrovascular diseases,3413,0.038425208197527864,Accidents (unintentional injuries),3218,0.03622980368580272,Chronic lower respiratory diseases,3202,0.0360496679309945
New Mexico,Malignant neoplasms,3591,0.17125860048673497,Diseases of heart,3508,0.16730024241366367,Accidents (unintentional injuries),1430,0.0681982174035174,Chronic lower respiratory diseases,1109,0.052889386783567,Cerebrovascular diseases,786,0.03748517404137391
